Group,ID,Attack family,Manipulated invariant,Formal security property,Rejecting relation component
G1,A1,Direct prompt injection,An attacker-controlled prompt determines a protected request field.,"Provenance-integrity non-laundering, Definition 8 and Theorem 5.","Safe_P, Equations (8) and (11)."
G1,A2,Indirect retrieval injection,Retrieved attacker-controlled content determines a protected field.,"Provenance-integrity non-laundering, Definition 8 and Theorem 5.","Safe_P, Equations (8) and (11)."
G1,A3,Malicious tool output,A low-integrity tool result is propagated into a protected field.,"Provenance-integrity non-laundering, Definition 8 and Theorem 5.","Safe_P, Equations (8) and (11)."
G1,A4,Compromised subagent,An untrusted subagent contribution is treated as an authorised source; a foreign certified root may also be introduced.,"Provenance-integrity non-laundering, Definition 8 and Theorem 5; non-amalgamation where a foreign root is used.","Safe_P and, where applicable, PrincipalOK."
G1,A5,Provenance omission,"A required input, transformation, parent edge, or executed-effect receipt is removed from the proved prefix.","Influence completeness and provenance-integrity non-laundering, Definitions 7-8 and Theorem 5.","OpenState, TransitionsOK, and ReceiptChainOK."
G1,A6,Event reordering,Delivered events are reordered while retaining their individual values.,"Influence completeness, Definition 7 and Theorem 5.","OpenState, TransitionsOK, and Equation (15)."
G2,A7,Credential amalgamation,Credentials from unrelated hidden roots are combined into one witness.,"Compound-principal non-amalgamation, Definition 4 and Theorem 4.",PrincipalOK and P_root in Equation (12).
G2,A8,False two-agent independence,Two approval roots are submitted as independent. Common-controller rejection additionally assumes issuer-certified one-controller-to-one-root semantics.,Cryptographic root distinctness under Definition 4 and Theorem 4; controller independence is conditional on issuance semantics.,"The distinct-root predicate in P_root and, for controller independence, the issuer uniqueness relation."
G2,A9,Delegation widening,"A child delegation enlarges scope, purpose, depth, expiry, or the permitted action set.","Delegation integrity, Definition 5 and Theorem 4.","DelegationOK, attenuation in Equation (5), and action intersection in Equation (6)."
G3,A10,Request substitution,The gateway receives q' != q after the proof or monitor head was constructed for q.,"Exact-action binding, the binding experiment in Section 7.3 and Equation (26).",Bind and H(q) in Equations (17)-(18).
G3,A11,Replay,"A previously accepted nonce, monitor head, proof, or task/context binding is submitted again.","Replay resistance and nonce freshness, the replay experiment in Section 7.3 and Equation (26).","Bind, Unused(nu), Equation (17), and atomic nonce consumption in Algorithm 1."
G3,A12,Stale attestation or revocation,"The witness uses an expired or revoked handle, or a root bundle outside the permitted staleness window.","Revocation and freshness, Definition 6 and Theorem 4.","RootBundleOK, RevOK, and P_fresh in Equations (12) and (18)."
G3,A13,Suite downgrade,"A proof, credential, root bundle, capability, or task transcript is rebound to a weaker cryptographic suite.",Post-quantum suite binding under Theorems 3 and 7.,"Bind, suiteID, and the transcript hash in Equations (17), (18), and (24)."
